"Recognition Log: Katherine Chan, Thomas Ruby, Jonathan Zhang // $1 Recognizer // XML Dataset // USER-DEPENDENT RANDOM-1"
User[all-users],GestureType[all-gesture-types],Random Iteration[1to1],#ofTrainingExamples[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
2,caret,1,3,48,"{'triangle02', 'triangle05', 'triangle03', 'x07', 'x03', 'x05', 'rectangle01', 'rectangle02', 'rectangle10', 'circle08', 'circle03', 'circle01', 'check07', 'check08', 'check09', 'caret02', 'caret04', 'caret03', 'question_mark06', 'question_mark03', 'question_mark02', 'arrow04', 'arrow10', 'arrow09', 'left_sq_bracket09', 'left_sq_bracket07', 'left_sq_bracket06', 'right_sq_bracket10', 'right_sq_bracket08', 'right_sq_bracket04', 'v05', 'v06', 'v10', 'delete_mark08', 'delete_mark06', 'delete_mark04', 'left_curly_brace08', 'left_curly_brace04', 'left_curly_brace03', 'right_curly_brace10', 'right_curly_brace09', 'right_curly_brace06', 'star02', 'star05', 'star10', 'pigtail08', 'pigtail01', 'pigtail04'}",caret07,caret,1,0.9723549911911098,caret03,"[('caret03', 0.9723549911911098), ('caret02', 0.9568037000860472), ('caret04', 0.9310505859634834), ('right_curly_brace09', 0.7959571362454542), ('right_sq_bracket10', 0.7875100961986857), ('right_sq_bracket04', 0.7712518765660004), ('right_sq_bracket08', 0.7477318734750276), ('right_curly_brace06', 0.7247690666814117), ('question_mark06', 0.7162180282881367), ('question_mark02', 0.6710132971995727), ('pigtail04', 0.6525010286503905), ('right_curly_brace10', 0.6514702916625656), ('question_mark03', 0.6447071988102704), ('delete_mark06', 0.6330853144724984), ('arrow10', 0.6216600018125784), ('pigtail01', 0.6175445590229072), ('delete_mark08', 0.6166962011462486), ('delete_mark04', 0.6095675471746098), ('pigtail08', 0.5910170746110456), ('arrow04', 0.5833672069528866), ('arrow09', 0.5833337450638318), ('check09', 0.5643627178000925), ('check08', 0.5191478253284239), ('check07', 0.5068301829238313), ('x05', 0.5035473429316907), ('x03', 0.49604663482466416), ('left_curly_brace04', 0.4587266067473472), ('x07', 0.4442083876151497), ('left_curly_brace08', 0.4262872691371875), ('left_curly_brace03', 0.4135651104261524), ('v06', 0.40949867982606714), ('v05', 0.39933271971920226), ('v10', 0.3992666390224411), ('star10', 0.37599912378431144), ('left_sq_bracket06', 0.3637935641740153), ('star05', 0.34422825459818784), ('star02', 0.3431380259709573), ('left_sq_bracket09', 0.3203915700296198), ('left_sq_bracket07', 0.3184824431005475), ('rectangle02', 0.31454084494176393), ('rectangle01', 0.31240302926619223), ('triangle05', 0.3052617507130022), ('triangle03', 0.2992573163538521), ('triangle02', 0.29129355866797224), ('rectangle10', 0.27521079857397857), ('circle08', 0.2114968732177961), ('circle01', 0.21097079112425976), ('circle03', 0.2067728545608316)]"
2,question_mark,1,3,48,"{'triangle02', 'triangle05', 'triangle03', 'x07', 'x03', 'x05', 'rectangle01', 'rectangle02', 'rectangle10', 'circle08', 'circle03', 'circle01', 'check07', 'check08', 'check09', 'caret02', 'caret04', 'caret03', 'question_mark06', 'question_mark03', 'question_mark02', 'arrow04', 'arrow10', 'arrow09', 'left_sq_bracket09', 'left_sq_bracket07', 'left_sq_bracket06', 'right_sq_bracket10', 'right_sq_bracket08', 'right_sq_bracket04', 'v05', 'v06', 'v10', 'delete_mark08', 'delete_mark06', 'delete_mark04', 'left_curly_brace08', 'left_curly_brace04', 'left_curly_brace03', 'right_curly_brace10', 'right_curly_brace09', 'right_curly_brace06', 'star02', 'star05', 'star10', 'pigtail08', 'pigtail01', 'pigtail04'}",question_mark07,question_mark,1,0.908255899064053,question_mark06,"[('question_mark06', 0.908255899064053), ('question_mark03', 0.8517215327627804), ('question_mark02', 0.7876456349643383), ('right_sq_bracket04', 0.7771081263876731), ('right_curly_brace06', 0.7765792107965638), ('right_sq_bracket10', 0.7531038026177131), ('right_sq_bracket08', 0.7521685612535897), ('right_curly_brace09', 0.7449479702762355), ('caret03', 0.7167927217933565), ('check09', 0.7049200878939202), ('caret02', 0.7020679885402528), ('right_curly_brace10', 0.6957651700123794), ('caret04', 0.6865259133260125), ('check08', 0.6497469085778557), ('check07', 0.6194548625431426), ('left_curly_brace08', 0.6151907923439053), ('pigtail01', 0.6076501827424772), ('pigtail04', 0.5818763359899588), ('pigtail08', 0.5754000902839853), ('left_curly_brace04', 0.5620912143863181), ('left_sq_bracket06', 0.5400211563827029), ('left_curly_brace03', 0.5389659867669399), ('arrow09', 0.5071415401609064), ('delete_mark06', 0.5002258714458068), ('v06', 0.4974386951959504), ('x05', 0.495563596589226), ('left_sq_bracket07', 0.4847562055963963), ('delete_mark08', 0.4820667855935641), ('x03', 0.4817585148626118), ('left_sq_bracket09', 0.48090481004328), ('arrow10', 0.4675125255631639), ('arrow04', 0.456262404848486), ('x07', 0.44353729080760285), ('v05', 0.43561511825282007), ('delete_mark04', 0.43271842411361183), ('rectangle02', 0.40538177797443065), ('v10', 0.39931270640504957), ('rectangle10', 0.3937756191085775), ('star10', 0.39015404378380936), ('star02', 0.38722891314861185), ('rectangle01', 0.3851282704182425), ('star05', 0.36704953790461803), ('triangle02', 0.36421598981721914), ('circle03', 0.3578207775983373), ('triangle03', 0.3472683670469905), ('circle01', 0.34307140537216474), ('triangle05', 0.34259356969444366), ('circle08', 0.33773280683642026)]"
2,arrow,1,3,48,"{'triangle02', 'triangle05', 'triangle03', 'x07', 'x03', 'x05', 'rectangle01', 'rectangle02', 'rectangle10', 'circle08', 'circle03', 'circle01', 'check07', 'check08', 'check09', 'caret02', 'caret04', 'caret03', 'question_mark06', 'question_mark03', 'question_mark02', 'arrow04', 'arrow10', 'arrow09', 'left_sq_bracket09', 'left_sq_bracket07', 'left_sq_bracket06', 'right_sq_bracket10', 'right_sq_bracket08', 'right_sq_bracket04', 'v05', 'v06', 'v10', 'delete_mark08', 'delete_mark06', 'delete_mark04', 'left_curly_brace08', 'left_curly_brace04', 'left_curly_brace03', 'right_curly_brace10', 'right_curly_brace09', 'right_curly_brace06', 'star02', 'star05', 'star10', 'pigtail08', 'pigtail01', 'pigtail04'}",arrow08,arrow,1,0.8187499442316528,arrow10,"[('arrow10', 0.8187499442316528), ('arrow09', 0.7400851936006472), ('arrow04', 0.7313166940740817), ('pigtail04', 0.7087910285286019), ('x05', 0.7044001876566279), ('pigtail01', 0.6995825357653194), ('x03', 0.6829142351666297), ('caret04', 0.6723603258527006), ('right_curly_brace09', 0.6711256468819932), ('pigtail08', 0.6652170542013749), ('x07', 0.6608639295015615), ('caret03', 0.6591918533274603), ('caret02', 0.6585241623769635), ('right_sq_bracket04', 0.5979167176115749), ('right_sq_bracket10', 0.5960963146140603), ('right_curly_brace06', 0.5903212333156671), ('right_sq_bracket08', 0.5783199553512779), ('star05', 0.5744806459291744), ('star10', 0.5708073851184556), ('star02', 0.5704459450385253), ('right_curly_brace10', 0.5466352897350704), ('question_mark06', 0.5169690109853735), ('question_mark03', 0.513905144332904), ('check09', 0.5101536634146603), ('delete_mark04', 0.49650986003087416), ('check08', 0.4964311163469023), ('question_mark02', 0.49000567966962105), ('check07', 0.4893363917169915), ('left_curly_brace04', 0.4887131929388614), ('delete_mark06', 0.48128591763090756), ('delete_mark08', 0.4772388306656421), ('v10', 0.4619211893151981), ('v05', 0.45267827656160986), ('triangle05', 0.43749763853808354), ('triangle03', 0.42980316980980504), ('rectangle02', 0.42894587374064874), ('left_curly_brace03', 0.4286032423466679), ('triangle02', 0.42715383708985455), ('rectangle01', 0.40592466675177763), ('left_curly_brace08', 0.4015336037959196), ('v06', 0.39640590842959145), ('rectangle10', 0.39312853131950887), ('left_sq_bracket06', 0.377456525408583), ('left_sq_bracket09', 0.3620546299362557), ('left_sq_bracket07', 0.35206174944644686), ('circle08', 0.31936036814583857), ('circle03', 0.3089794463982374), ('circle01', 0.29881431846033957)]"
2,left_sq_bracket,1,3,48,"{'triangle02', 'triangle05', 'triangle03', 'x07', 'x03', 'x05', 'rectangle01', 'rectangle02', 'rectangle10', 'circle08', 'circle03', 'circle01', 'check07', 'check08', 'check09', 'caret02', 'caret04', 'caret03', 'question_mark06', 'question_mark03', 'question_mark02', 'arrow04', 'arrow10', 'arrow09', 'left_sq_bracket09', 'left_sq_bracket07', 'left_sq_bracket06', 'right_sq_bracket10', 'right_sq_bracket08', 'right_sq_bracket04', 'v05', 'v06', 'v10', 'delete_mark08', 'delete_mark06', 'delete_mark04', 'left_curly_brace08', 'left_curly_brace04', 'left_curly_brace03', 'right_curly_brace10', 'right_curly_brace09', 'right_curly_brace06', 'star02', 'star05', 'star10', 'pigtail08', 'pigtail01', 'pigtail04'}",left_sq_bracket05,left_sq_bracket,1,0.9153147268935484,left_sq_bracket07,"[('left_sq_bracket07', 0.9153147268935484), ('left_sq_bracket06', 0.8954797821894435), ('left_sq_bracket09', 0.8686297948169283), ('left_curly_brace08', 0.7870273104054928), ('circle01', 0.7441481012183788), ('check08', 0.7393603321829654), ('left_curly_brace04', 0.7276092558162448), ('left_curly_brace03', 0.7265235901358219), ('rectangle01', 0.7218010084322182), ('check09', 0.7193520972777832), ('circle08', 0.7062408236657417), ('circle03', 0.7049077034248976), ('rectangle02', 0.7026806099287825), ('check07', 0.6958095094512837), ('rectangle10', 0.6892207956059533), ('triangle02', 0.6875307082891957), ('v06', 0.6587170293657669), ('triangle03', 0.6506372759176002), ('triangle05', 0.6484549254452354), ('v05', 0.6372372595191981), ('v10', 0.6089409572441382), ('right_curly_brace10', 0.5820162865525405), ('question_mark03', 0.5792226222246919), ('x07', 0.5414669473948168), ('question_mark06', 0.5266897284640741), ('x03', 0.5196359462611091), ('question_mark02', 0.5170481064315856), ('arrow04', 0.5167137811131797), ('x05', 0.512826957309144), ('right_sq_bracket04', 0.4866358796756701), ('right_sq_bracket08', 0.48553790427755195), ('right_curly_brace06', 0.4844567557714775), ('right_curly_brace09', 0.4723145872417811), ('arrow10', 0.45789742400390865), ('right_sq_bracket10', 0.4509910994194499), ('arrow09', 0.4146151200612783), ('pigtail08', 0.3738181273117188), ('pigtail04', 0.36342887875134355), ('caret04', 0.3602088014590361), ('star10', 0.34161156825324135), ('caret03', 0.3364487780517782), ('pigtail01', 0.3320801430701269), ('caret02', 0.32316492509609773), ('star05', 0.3223714133241675), ('star02', 0.3100456244004557), ('delete_mark04', 0.29333994569447575), ('delete_mark06', 0.23777243637311096), ('delete_mark08', 0.22891623306602338)]"
2,right_sq_bracket,1,3,48,"{'triangle02', 'triangle05', 'triangle03', 'x07', 'x03', 'x05', 'rectangle01', 'rectangle02', 'rectangle10', 'circle08', 'circle03', 'circle01', 'check07', 'check08', 'check09', 'caret02', 'caret04', 'caret03', 'question_mark06', 'question_mark03', 'question_mark02', 'arrow04', 'arrow10', 'arrow09', 'left_sq_bracket09', 'left_sq_bracket07', 'left_sq_bracket06', 'right_sq_bracket10', 'right_sq_bracket08', 'right_sq_bracket04', 'v05', 'v06', 'v10', 'delete_mark08', 'delete_mark06', 'delete_mark04', 'left_curly_brace08', 'left_curly_brace04', 'left_curly_brace03', 'right_curly_brace10', 'right_curly_brace09', 'right_curly_brace06', 'star02', 'star05', 'star10', 'pigtail08', 'pigtail01', 'pigtail04'}",right_sq_bracket05,right_sq_bracket,1,0.9155311442182157,right_sq_bracket10,"[('right_sq_bracket10', 0.9155311442182157), ('right_sq_bracket04', 0.8917755263757398), ('right_sq_bracket08', 0.8682553591162138), ('right_curly_brace06', 0.83933505644369), ('question_mark06', 0.8074646566585237), ('caret03', 0.7886300303150315), ('right_curly_brace09', 0.7876869316346813), ('caret02', 0.7752273502856961), ('question_mark03', 0.7739272224554307), ('caret04', 0.773408552762335), ('question_mark02', 0.7702796394503153), ('right_curly_brace10', 0.762834054319437), ('check09', 0.6966636098599037), ('check08', 0.6298359064959269), ('delete_mark06', 0.6012389635575318), ('check07', 0.5973592835898685), ('arrow09', 0.5935291636795236), ('delete_mark08', 0.5777885535925202), ('arrow10', 0.5745254840670379), ('arrow04', 0.5605946641841677), ('left_curly_brace08', 0.5590347516344162), ('left_curly_brace04', 0.5403321608827045), ('pigtail04', 0.5319013024012348), ('pigtail01', 0.5266562808838031), ('left_sq_bracket06', 0.5006305687482003), ('pigtail08', 0.49777859994784923), ('delete_mark04', 0.48544798479276563), ('left_curly_brace03', 0.4849622113365962), ('v06', 0.4541018922334762), ('left_sq_bracket09', 0.4531910088138603), ('x05', 0.451166255699187), ('left_sq_bracket07', 0.4483594915528235), ('x03', 0.438230289177701), ('star10', 0.4150585176495133), ('v05', 0.4015386423976208), ('rectangle02', 0.39379251044830876), ('v10', 0.38836243269916715), ('x07', 0.3843294384731275), ('rectangle01', 0.3829374918919849), ('rectangle10', 0.3734310308624208), ('star02', 0.37146494360695215), ('triangle02', 0.36013088199173904), ('star05', 0.35606071311142384), ('triangle05', 0.3315792780575896), ('circle01', 0.32608244658298213), ('circle03', 0.324565032986733), ('triangle03', 0.31799335162143605), ('circle08', 0.30070579086889704)]"
2,v,1,3,48,"{'triangle02', 'triangle05', 'triangle03', 'x07', 'x03', 'x05', 'rectangle01', 'rectangle02', 'rectangle10', 'circle08', 'circle03', 'circle01', 'check07', 'check08', 'check09', 'caret02', 'caret04', 'caret03', 'question_mark06', 'question_mark03', 'question_mark02', 'arrow04', 'arrow10', 'arrow09', 'left_sq_bracket09', 'left_sq_bracket07', 'left_sq_bracket06', 'right_sq_bracket10', 'right_sq_bracket08', 'right_sq_bracket04', 'v05', 'v06', 'v10', 'delete_mark08', 'delete_mark06', 'delete_mark04', 'left_curly_brace08', 'left_curly_brace04', 'left_curly_brace03', 'right_curly_brace10', 'right_curly_brace09', 'right_curly_brace06', 'star02', 'star05', 'star10', 'pigtail08', 'pigtail01', 'pigtail04'}",v01,v,1,0.9337689936993463,v06,"[('v06', 0.9337689936993463), ('v05', 0.9145498092415243), ('v10', 0.884557537791199), ('left_curly_brace03', 0.8132390416826211), ('check07', 0.7480170379599357), ('triangle05', 0.7410249876397292), ('triangle02', 0.7401842184309704), ('rectangle10', 0.7356596958067063), ('triangle03', 0.7285312355702901), ('rectangle02', 0.7147064248933389), ('left_curly_brace08', 0.7079000190630045), ('rectangle01', 0.7007831243070007), ('left_curly_brace04', 0.7007652872585182), ('circle08', 0.692449505314739), ('left_sq_bracket09', 0.6806179912285641), ('circle03', 0.67484706963696), ('left_sq_bracket07', 0.6693059291994439), ('check08', 0.6685632858767809), ('circle01', 0.6675340600463195), ('left_sq_bracket06', 0.658572841595649), ('check09', 0.6076543872438018), ('x03', 0.5740522589922538), ('pigtail04', 0.567273088307005), ('x05', 0.5551353265069469), ('x07', 0.5378804277566538), ('pigtail08', 0.5334891799288607), ('delete_mark04', 0.5325782939625883), ('question_mark03', 0.5228793752901703), ('arrow04', 0.49591093441638545), ('question_mark02', 0.479506837441956), ('right_curly_brace09', 0.4739096872405453), ('arrow10', 0.4684325094283118), ('arrow09', 0.4673957128610212), ('question_mark06', 0.4671642465164475), ('delete_mark08', 0.46478605867471456), ('star05', 0.45083193792698695), ('right_curly_brace10', 0.43861762610645905), ('pigtail01', 0.4374873250079414), ('star10', 0.4338678241351459), ('right_curly_brace06', 0.43089914053181444), ('star02', 0.42919684271842873), ('caret02', 0.42872484183325377), ('caret03', 0.42722110965470583), ('delete_mark06', 0.41461096157050004), ('right_sq_bracket10', 0.3908415092239056), ('right_sq_bracket04', 0.38757920630188913), ('caret04', 0.3805776774860897), ('right_sq_bracket08', 0.36253659853819153)]"
2,delete_mark,1,3,48,"{'triangle02', 'triangle05', 'triangle03', 'x07', 'x03', 'x05', 'rectangle01', 'rectangle02', 'rectangle10', 'circle08', 'circle03', 'circle01', 'check07', 'check08', 'check09', 'caret02', 'caret04', 'caret03', 'question_mark06', 'question_mark03', 'question_mark02', 'arrow04', 'arrow10', 'arrow09', 'left_sq_bracket09', 'left_sq_bracket07', 'left_sq_bracket06', 'right_sq_bracket10', 'right_sq_bracket08', 'right_sq_bracket04', 'v05', 'v06', 'v10', 'delete_mark08', 'delete_mark06', 'delete_mark04', 'left_curly_brace08', 'left_curly_brace04', 'left_curly_brace03', 'right_curly_brace10', 'right_curly_brace09', 'right_curly_brace06', 'star02', 'star05', 'star10', 'pigtail08', 'pigtail01', 'pigtail04'}",delete_mark01,delete_mark,1,0.8357034193143648,delete_mark08,"[('delete_mark08', 0.8357034193143648), ('delete_mark06', 0.7982998595241724), ('delete_mark04', 0.7938815719771574), ('v10', 0.613748109278291), ('v05', 0.5985649083212492), ('caret04', 0.5717396244428903), ('caret02', 0.5557060463400523), ('caret03', 0.5522356804125752), ('v06', 0.5423706642784951), ('right_sq_bracket10', 0.5410236424839336), ('star05', 0.5058772145114556), ('right_sq_bracket08', 0.5020706084096042), ('right_sq_bracket04', 0.49742608259279597), ('left_curly_brace03', 0.49183895238821795), ('arrow09', 0.47635422441224196), ('right_curly_brace09', 0.4592221682877564), ('check07', 0.4547202491950477), ('question_mark02', 0.4469613549521374), ('x03', 0.44633051230004683), ('question_mark06', 0.44505731441350627), ('star10', 0.43986726933065967), ('star02', 0.4383524211963348), ('pigtail04', 0.435936224933442), ('arrow10', 0.4341677351137001), ('right_curly_brace06', 0.43017780601309585), ('x05', 0.42886336070349795), ('triangle02', 0.41897003823458623), ('x07', 0.4175989599163754), ('left_curly_brace04', 0.41369339346916945), ('triangle03', 0.4123439282089937), ('rectangle02', 0.41073286483968774), ('pigtail08', 0.4105697334887015), ('check08', 0.40874256847397916), ('triangle05', 0.40851597710977283), ('question_mark03', 0.4035194809367527), ('rectangle01', 0.39759629082322423), ('rectangle10', 0.3972207670669742), ('pigtail01', 0.38067203700441654), ('arrow04', 0.37632480331723706), ('left_curly_brace08', 0.3704099714202095), ('check09', 0.364389349321221), ('left_sq_bracket09', 0.35850692500345893), ('right_curly_brace10', 0.3495225336284101), ('left_sq_bracket07', 0.34428697090647853), ('left_sq_bracket06', 0.3392195373290696), ('circle08', 0.3346996067332193), ('circle03', 0.3225508959949369), ('circle01', 0.3174899583078823)]"
2,left_curly_brace,1,3,48,"{'triangle02', 'triangle05', 'triangle03', 'x07', 'x03', 'x05', 'rectangle01', 'rectangle02', 'rectangle10', 'circle08', 'circle03', 'circle01', 'check07', 'check08', 'check09', 'caret02', 'caret04', 'caret03', 'question_mark06', 'question_mark03', 'question_mark02', 'arrow04', 'arrow10', 'arrow09', 'left_sq_bracket09', 'left_sq_bracket07', 'left_sq_bracket06', 'right_sq_bracket10', 'right_sq_bracket08', 'right_sq_bracket04', 'v05', 'v06', 'v10', 'delete_mark08', 'delete_mark06', 'delete_mark04', 'left_curly_brace08', 'left_curly_brace04', 'left_curly_brace03', 'right_curly_brace10', 'right_curly_brace09', 'right_curly_brace06', 'star02', 'star05', 'star10', 'pigtail08', 'pigtail01', 'pigtail04'}",left_curly_brace07,left_curly_brace,1,0.7836782924389835,left_curly_brace03,"[('left_curly_brace03', 0.7836782924389835), ('left_curly_brace08', 0.7812076808465791), ('check08', 0.7796655717913985), ('check07', 0.7722785458194278), ('left_sq_bracket06', 0.7698446926877255), ('left_curly_brace04', 0.7614226497219263), ('check09', 0.7457041074924078), ('left_sq_bracket07', 0.7406007793807472), ('left_sq_bracket09', 0.7198592942997906), ('v06', 0.7084096077416644), ('v05', 0.7071783292866807), ('v10', 0.6911041918471614), ('rectangle02', 0.6474312528718267), ('rectangle01', 0.6455659260123418), ('right_curly_brace10', 0.6297443562072678), ('rectangle10', 0.6282336533877876), ('arrow04', 0.6176004759664873), ('triangle02', 0.6167604657323285), ('circle01', 0.6032380499856071), ('triangle05', 0.5957623287386216), ('question_mark03', 0.5905014914238924), ('right_curly_brace09', 0.5854962059746672), ('triangle03', 0.5832692964336573), ('circle08', 0.5825789723230306), ('circle03', 0.5731354491647969), ('arrow10', 0.5541578755343124), ('right_curly_brace06', 0.5441087740394501), ('question_mark06', 0.5437744195509149), ('question_mark02', 0.5101426833251217), ('right_sq_bracket04', 0.5070481854223945), ('arrow09', 0.4945723837650864), ('right_sq_bracket08', 0.4848249359767839), ('right_sq_bracket10', 0.4794791922946007), ('x03', 0.47693596841452424), ('x07', 0.4619828236612067), ('x05', 0.45939964243277787), ('caret04', 0.4583806995664851), ('caret03', 0.4497056436565161), ('star05', 0.4489968043791335), ('star02', 0.4458834430020152), ('star10', 0.4454356009081647), ('caret02', 0.4359522179222004), ('pigtail01', 0.4166307603791932), ('pigtail08', 0.41441629975270144), ('pigtail04', 0.40943619257203345), ('delete_mark04', 0.3932108825543086), ('delete_mark08', 0.31627465160493484), ('delete_mark06', 0.2850561696044265)]"
2,right_curly_brace,1,3,48,"{'triangle02', 'triangle05', 'triangle03', 'x07', 'x03', 'x05', 'rectangle01', 'rectangle02', 'rectangle10', 'circle08', 'circle03', 'circle01', 'check07', 'check08', 'check09', 'caret02', 'caret04', 'caret03', 'question_mark06', 'question_mark03', 'question_mark02', 'arrow04', 'arrow10', 'arrow09', 'left_sq_bracket09', 'left_sq_bracket07', 'left_sq_bracket06', 'right_sq_bracket10', 'right_sq_bracket08', 'right_sq_bracket04', 'v05', 'v06', 'v10', 'delete_mark08', 'delete_mark06', 'delete_mark04', 'left_curly_brace08', 'left_curly_brace04', 'left_curly_brace03', 'right_curly_brace10', 'right_curly_brace09', 'right_curly_brace06', 'star02', 'star05', 'star10', 'pigtail08', 'pigtail01', 'pigtail04'}",right_curly_brace04,right_curly_brace,1,0.834305162902039,right_curly_brace09,"[('right_curly_brace09', 0.834305162902039), ('right_curly_brace06', 0.8224681578630655), ('right_curly_brace10', 0.8206571271314943), ('right_sq_bracket04', 0.8202893481498994), ('right_sq_bracket10', 0.7867279505027988), ('right_sq_bracket08', 0.7823601313429516), ('caret04', 0.7654714921307516), ('caret03', 0.7537013028193151), ('caret02', 0.7464939609532077), ('question_mark06', 0.687304481896599), ('check09', 0.6815703848598913), ('question_mark02', 0.6703102994611965), ('arrow04', 0.6492020046337001), ('question_mark03', 0.6458810234246684), ('arrow10', 0.6388687515449842), ('arrow09', 0.6324815821356862), ('check08', 0.6272697064763688), ('check07', 0.5938986897050842), ('left_curly_brace04', 0.5638725100792892), ('left_curly_brace08', 0.5595302488426749), ('delete_mark06', 0.5199537264388872), ('delete_mark08', 0.5062129577307075), ('left_curly_brace03', 0.4996942497478686), ('left_sq_bracket06', 0.4937283023699075), ('star10', 0.4825098297269449), ('delete_mark04', 0.48148659588953824), ('pigtail04', 0.4777037853210786), ('pigtail01', 0.46094424127254796), ('star02', 0.44620842314390907), ('left_sq_bracket09', 0.44606668292050533), ('left_sq_bracket07', 0.44314879332228585), ('pigtail08', 0.43084720142357225), ('star05', 0.42924080661010855), ('v06', 0.4177932055208704), ('x05', 0.41322101877864925), ('x03', 0.3979441990099142), ('rectangle01', 0.3851871838811972), ('rectangle02', 0.3815676710955811), ('v05', 0.36527544584545235), ('rectangle10', 0.3615113401818433), ('v10', 0.3576432431394343), ('x07', 0.3573080134141834), ('triangle02', 0.34117479636726467), ('circle01', 0.3261586376673584), ('triangle05', 0.32221304565134357), ('circle03', 0.3140262707974404), ('triangle03', 0.30542413736280605), ('circle08', 0.29708198648406725)]"
2,star,1,3,48,"{'triangle02', 'triangle05', 'triangle03', 'x07', 'x03', 'x05', 'rectangle01', 'rectangle02', 'rectangle10', 'circle08', 'circle03', 'circle01', 'check07', 'check08', 'check09', 'caret02', 'caret04', 'caret03', 'question_mark06', 'question_mark03', 'question_mark02', 'arrow04', 'arrow10', 'arrow09', 'left_sq_bracket09', 'left_sq_bracket07', 'left_sq_bracket06', 'right_sq_bracket10', 'right_sq_bracket08', 'right_sq_bracket04', 'v05', 'v06', 'v10', 'delete_mark08', 'delete_mark06', 'delete_mark04', 'left_curly_brace08', 'left_curly_brace04', 'left_curly_brace03', 'right_curly_brace10', 'right_curly_brace09', 'right_curly_brace06', 'star02', 'star05', 'star10', 'pigtail08', 'pigtail01', 'pigtail04'}",star04,star,1,0.8687267455993579,star02,"[('star02', 0.8687267455993579), ('star05', 0.8170199725507228), ('star10', 0.7713367044944746), ('arrow09', 0.5635507756955578), ('x05', 0.5368969630257705), ('x03', 0.5173836970150734), ('x07', 0.5101068518891476), ('arrow04', 0.5039919605519289), ('arrow10', 0.5018519680556156), ('left_curly_brace04', 0.4262012737748607), ('right_curly_brace09', 0.4246526364308172), ('pigtail04', 0.42059558486877247), ('v10', 0.40944151422297503), ('delete_mark04', 0.40745474762025635), ('v05', 0.4067425847475631), ('check07', 0.40377540150168545), ('right_curly_brace06', 0.4005162973677934), ('left_curly_brace03', 0.39986836397815884), ('right_curly_brace10', 0.39920852373623705), ('pigtail08', 0.39863950141944404), ('question_mark03', 0.3944505394130913), ('v06', 0.38441820852700814), ('question_mark06', 0.3802315881046223), ('delete_mark08', 0.3799174366963822), ('pigtail01', 0.36877208028606623), ('right_sq_bracket04', 0.35890142659473045), ('check08', 0.3583724787032905), ('delete_mark06', 0.3573873114668813), ('right_sq_bracket08', 0.35504802831875215), ('right_sq_bracket10', 0.34654867411262635), ('caret02', 0.34487795745575334), ('caret03', 0.34332483640309863), ('rectangle02', 0.3399256576442643), ('caret04', 0.3350451810042445), ('question_mark02', 0.33157659755764424), ('rectangle01', 0.3302505037318998), ('check09', 0.3266085173989697), ('left_curly_brace08', 0.3251795534091618), ('left_sq_bracket06', 0.32345117629503106), ('triangle05', 0.3226970411368515), ('triangle02', 0.3197193426159586), ('rectangle10', 0.313103409775618), ('left_sq_bracket09', 0.30901302023666166), ('triangle03', 0.30853005136347433), ('left_sq_bracket07', 0.2950198122552651), ('circle03', 0.23769870879495003), ('circle08', 0.23245058101613014), ('circle01', 0.2303820955856707)]"
